2017-07-13 11:37:44,427 [Worker-24] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: cn.iverson:erp_parent:0.0.1-SNAPSHOT @ F:\Eclipse\ERP\erp_parent\pom.xml.
2017-07-13 11:38:21,389 [Worker-5] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: cn.iverson:erp_domain:0.0.1-SNAPSHOT @ F:\Eclipse\ERP\erp_parent\erp_domain\pom.xml.
2017-07-13 11:38:22,199 [Worker-5] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /erp_domain/src/main/java
2017-07-13 11:38:22,200 [Worker-5] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /erp_domain/src/main/resources
2017-07-13 11:38:22,201 [Worker-5] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /erp_domain/src/test/java
2017-07-13 11:38:22,202 [Worker-5] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /erp_domain/src/test/resources
2017-07-13 11:38:23,300 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-07-13 11:38:23,303 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-07-13 11:38:23,305 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-07-13 11:38:23,306 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-07-13 11:38:24,436 [Worker-22] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: cn.iverson:erp_parent:0.0.1-SNAPSHOT @ F:\Eclipse\ERP\erp_parent\pom.xml.
2017-07-13 11:38:24,972 [Worker-22] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: cn.iverson:erp_domain:0.0.1-SNAPSHOT @ F:\Eclipse\ERP\erp_parent\erp_domain\pom.xml.
2017-07-13 11:38:26,900 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-07-13 11:38:26,903 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-07-13 11:38:26,904 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-07-13 11:38:26,905 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-07-13 11:38:41,689 [Worker-26] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: cn.iverson:erp_dao:0.0.1-SNAPSHOT @ F:\Eclipse\ERP\erp_parent\erp_dao\pom.xml.
2017-07-13 11:38:42,233 [Worker-26] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /erp_dao/src/main/java
2017-07-13 11:38:42,233 [Worker-26] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /erp_dao/src/main/resources
2017-07-13 11:38:42,233 [Worker-26] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /erp_dao/src/test/java
2017-07-13 11:38:42,233 [Worker-26] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /erp_dao/src/test/resources
2017-07-13 11:38:42,563 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-07-13 11:38:42,564 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-07-13 11:38:42,565 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-07-13 11:38:42,566 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-07-13 11:38:42,624 [Worker-26] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: cn.iverson:erp_parent:0.0.1-SNAPSHOT @ F:\Eclipse\ERP\erp_parent\pom.xml.
2017-07-13 11:38:43,234 [Worker-26] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: cn.iverson:erp_domain:0.0.1-SNAPSHOT @ F:\Eclipse\ERP\erp_parent\erp_domain\pom.xml.
2017-07-13 11:38:43,295 [Worker-26] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: cn.iverson:erp_dao:0.0.1-SNAPSHOT @ F:\Eclipse\ERP\erp_parent\erp_dao\pom.xml.
2017-07-13 11:38:45,105 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-07-13 11:38:45,108 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-07-13 11:38:45,110 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-07-13 11:38:45,110 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-07-13 11:38:45,124 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-07-13 11:38:45,125 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-07-13 11:38:45,126 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-07-13 11:38:45,127 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-07-13 11:39:01,132 [Worker-5] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: cn.iverson:erp_service:0.0.1-SNAPSHOT @ F:\Eclipse\ERP\erp_parent\erp_service\pom.xml.
2017-07-13 11:39:01,671 [Worker-5] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /erp_service/src/main/java
2017-07-13 11:39:01,671 [Worker-5] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /erp_service/src/main/resources
2017-07-13 11:39:01,672 [Worker-5] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /erp_service/src/test/java
2017-07-13 11:39:01,672 [Worker-5] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /erp_service/src/test/resources
2017-07-13 11:39:01,997 [Worker-29] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: cn.iverson:erp_parent:0.0.1-SNAPSHOT @ F:\Eclipse\ERP\erp_parent\pom.xml.
2017-07-13 11:39:02,473 [Worker-29] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: cn.iverson:erp_dao:0.0.1-SNAPSHOT @ F:\Eclipse\ERP\erp_parent\erp_dao\pom.xml.
2017-07-13 11:39:02,524 [Worker-29] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: cn.iverson:erp_domain:0.0.1-SNAPSHOT @ F:\Eclipse\ERP\erp_parent\erp_domain\pom.xml.
2017-07-13 11:39:02,567 [Worker-29] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: cn.iverson:erp_service:0.0.1-SNAPSHOT @ F:\Eclipse\ERP\erp_parent\erp_service\pom.xml.
2017-07-13 11:39:03,350 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
